Tiempo (ms);Ángulo 1
17636;95,9769134521484
17669;91,9256362915039
17702;87,8913421630859
17736;83,9835739135742
17769;80,3023834228516
17802;76,9265289306641
17836;73,9142761230469
17869;71,3105163574219
17902;69,1521682739258
17936;67,4671401977539
17969;66,2704467773438
18002;65,5677642822266
18036;65,3645858764648
18069;65,6679458618164
18102;66,4821624755859
18136;67,8072204589844
18169;69,6372451782227
18202;71,9563369750977
18236;74,7338027954102
18269;77,9239959716797
18302;81,4698715209961
18335;85,3010330200195
18369;89,3259048461914
18402;93,4327011108398
18436;97,5041427612305
18469;101,433586120605
18502;105,131004333496
18535;108,521003723145
18569;111,543098449707
18602;114,155822753906
18635;116,334899902344
18669;118,065856933594
18702;119,339401245117
18735;120,149719238281
18769;120,495300292969
18802;120,380195617676
18835;119,811241149902
18869;118,792701721191
18902;117,325889587402
18935;115,41495513916
18969;113,071815490723
19002;110,317329406738
19035;107,183395385742
19069;103,718559265137
19102;99,9922637939453
19135;96,092170715332
19169;92,1155166625977
19202;88,1622161865234
19235;84,3310775756836
19269;80,7129440307617
19302;77,3842163085938
19335;74,4066009521484
19369;71,8290634155273
19402;69,6876068115234
19435;68,0054702758789
19468;66,7967529296875
19502;66,072883605957
19535;65,8465957641602
19568;66,1292266845703
19602;66,9247360229492
19635;68,225959777832
19669;70,0166549682617
19702;72,2781600952148
19735;74,9901504516602
19768;78,118896484375
19802;81,6064834594727
19835;85,3704071044922
19868;89,3098068237305
19902;93,3166580200195
19935;97,2873229980469
19968;101,12565612793
20002;104,742233276367
20035;108,060920715332
20068;111,025276184082
20102;113,595260620117
20135;115,742515563965
20168;117,450881958008
20202;118,714126586914
20235;119,527847290039
20268;119,886993408203
20302;119,791175842285
20335;119,244476318359
20368;118,249687194824
20401;116,808502197266
20435;114,928382873535
20468;112,626640319824
20502;109,930221557617
20535;106,875839233398
20568;103,512367248535
20602;99,9026336669922
20635;96,1217346191406
20668;92,2550354003906
20701;88,3964157104492
20735;84,6423263549805
20768;81,0834121704102
20801;77,7985382080078
20835;74,8516540527344
20868;72,2927093505859
20901;70,1611175537109
20935;68,4860534667969
20968;67,2845764160156
21001;66,5656890869141
21035;66,3372192382813
21068;66,6052474975586
21101;67,3709182739258
21135;68,6325073242188
21168;70,3847885131836
21201;72,6103286743164
21235;75,2754364013672
21268;78,3351364135742
21301;81,7350616455078
21335;85,4059982299805
21368;89,2592620849609
21401;93,1901092529297
21435;97,0892028808594
21468;100,85514831543
21501;104,400650024414
21534;107,653373718262
21568;110,55704498291
21601;113,072906494141
21634;115,177780151367
21668;116,859649658203
21701;118,112060546875
21734;118,928672790527
21768;119,302505493164
21801;119,229942321777
21834;118,712211608887
21868;117,752914428711
21901;116,358406066895
21934;114,538879394531
21968;112,307670593262
22001;109,684967041016
22034;106,704231262207
22068;103,414138793945
22101;99,877067565918
22134;96,167350769043
22168;92,370735168457
22201;88,5818176269531
22234;84,8959655761719
22268;81,4004745483398
22301;78,1706314086914
22334;75,2688064575195
22368;72,7446594238281
22401;70,6362686157227
22434;68,9718627929688
22468;67,7710723876953
22501;67,0454940795898
22534;66,8010711669922
22567;67,0428466796875
22601;67,7769546508789
22634;69,0048065185547
22667;70,7158508300781
22701;72,8897247314453
22734;75,4999923706055
22767;78,5082855224609
22801;81,8573913574219
22834;85,4711456298828
22867;89,2559280395508
22901;93,106559753418
22934;96,9198760986328
22967;100,604942321777
23001;104,082038879395
23034;107,281158447266
23067;110,145072937012
23101;112,632629394531
23134;114,718521118164
23167;116,387474060059
23201;117,628150939941
23234;118,433128356934
23267;118,800468444824
23300;118,73210144043
23334;118,230834960938
23367;117,298980712891
23401;115,938461303711
23434;114,154106140137
23467;111,960670471191
23501;109,386848449707
23534;106,472351074219
23567;103,264663696289
23600;99,8191528320313
23634;96,2002410888672
23667;92,4844970703125
23700;88,7638549804688
23734;85,1394424438477
23767;81,7046203613281
23800;78,5324935913086
23834;75,6784057617188
23867;73,1891174316406
23900;71,1055145263672
23934;69,4587478637695
23967;68,2700119018555
24000;67,5542526245117
24034;67,3209075927734
24067;67,572509765625
24100;68,3064117431641
24134;69,5173492431641
24167;71,1967086791992
24200;73,3289413452148
24233;75,8878936767578
24267;78,8339614868164
24300;82,1115570068359
24333;85,6472015380859
24367;89,3506011962891
24400;93,120979309082
24433;96,8567352294922
24467;100,464233398438
24500;103,863838195801
24533;106,990982055664
24567;109,794425964355
24600;112,235382080078
24633;114,286247253418
24667;115,928047180176
24700;117,148345947266
24733;117,939758300781
24767;118,298545837402
24800;118,224143981934
24833;117,719635009766
24867;116,792434692383
24900;115,452110290527
24933;113,707374572754
24967;111,569152832031
25000;109,058868408203
25033;106,21174621582
25067;103,074523925781
25100;99,7040481567383
25133;96,168083190918
25167;92,5455474853516
25200;88,9229049682617
25233;85,3876037597656
25267;82,0238952636719
25300;78,9087219238281
25333;76,1051406860352
25366;73,6601104736328
25400;71,6095428466797
25433;69,9837341308594
25466;68,8064727783203
25500;68,0918960571289
25533;67,8475494384766
25566;68,0795288085938
25600;68,7916717529297
25633;69,9819030761719
25666;71,6408157348633
25700;73,7511825561523
25733;76,2856216430664
25766;79,2018737792969
25800;82,4381866455078
25833;85,9140472412109
25866;89,5376586914063
25900;93,2158126831055
25933;96,8600082397461
25966;100,387680053711
26000;103,721954345703
26033;106,79460144043
26066;109,54914855957
26100;111,941566467285
26133;113,942749023438
26166;115,538932800293
26200;116,725296020508
26233;117,498596191406
26266;117,854423522949
26300;117,788497924805
26333;117,299003601074
26366;116,389358520508
26399;115,070640563965
26433;113,357284545898
26466;111,260902404785
26499;108,796211242676
26533;105,99340057373
26566;102,902099609375
26599;99,5859451293945
26633;96,1141662597656
26666;92,5587387084961
26699;88,9992446899414
26733;85,5226745605469
26766;82,2144622802734
26799;79,1498336791992
26833;76,3898544311523
26866;73,9817504882813
26899;71,9618377685547
26933;70,3598098754883
26966;69,2012786865234
26999;68,5038604736328
27033;68,274040222168
27066;68,5118713378906
27099;69,2164306640625
27133;70,3864212036133
27166;72,0165863037109
27199;74,0915908813477
27233;76,5812454223633
27266;79,4404678344727
27299;82,6101608276367
27332;86,017333984375
27366;89,5769424438477
27399;93,1958312988281
27432;96,779670715332
27466;100,241058349609
27499;103,503204345703
27532;106,502067565918
27566;109,189064025879
27599;111,529518127441
27632;113,496910095215
27666;115,070327758789
27699;116,236442565918
27732;116,989952087402
27766;117,330017089844
27799;117,256454467773
27832;116,769981384277
27866;115,874885559082
27899;114,57886505127
27932;112,890846252441
27966;110,822952270508
27999;108,396949768066
28032;105,64892578125
28066;102,627799987793
28099;99,3909759521484
28132;96,0017166137695
28165;92,5281295776367
28199;89,0449676513672
28232;85,635383605957
28265;82,3854446411133
28299;79,3730545043945
28332;76,6606063842773
28365;74,2949905395508
28399;72,3126068115234
28432;70,7434005737305
28465;69,6104431152344
28499;68,9287872314453
28532;68,7076873779297
28565;68,9530487060547
28599;69,6655044555664
28632;70,8390274047852
28665;72,463508605957
28699;74,523078918457
28732;76,9879989624023
28765;79,8104019165039
28799;82,9278869628906
28832;86,2672576904297
28865;89,7461471557617
28899;93,2773666381836
28932;96,774787902832
28965;100,156387329102
28999;103,347312927246
29032;106,284889221191
29065;108,920120239258
29099;111,213684082031
29132;113,134201049805
29165;114,660873413086
29198;115,784385681152
29232;116,50373840332
29265;116,820739746094
29298;116,735595703125
29332;116,249153137207
29365;115,366485595703
29398;114,094429016113
29432;112,440071105957
29465;110,41544342041
29498;108,04280090332
29532;105,3564453125
29565;102,40153503418
29598;99,2312622070313
29632;95,9060974121094
29665;92,4949111938477
29698;89,0752258300781
29732;85,7311553955078
29765;82,54638671875
29798;79,5945587158203
29832;76,9353103637695
29865;74,616813659668
29898;72,6786422729492
29932;71,1507949829102
29965;70,0526428222656
29998;69,3966445922852
30032;69,1912460327148
30065;69,4395980834961
30098;70,141960144043
30131;71,2977523803711
30165;72,8990859985352
30198;74,9255676269531
30232;77,3453826904297
30265;80,1146774291992
30298;83,1754608154297
30331;86,4567108154297
30365;89,8773422241211
30398;93,3507614135742
30431;96,79150390625
30465;100,118423461914
30498;103,255142211914
30531;106,133964538574
30565;108,703277587891
30598;110,930725097656
30631;112,797096252441
30665;114,288444519043
30698;115,394027709961
30731;116,106437683105
30765;116,420967102051
30798;116,335266113281
30831;115,848365783691
30865;114,96231842041
30898;113,686950683594
30931;112,038726806641
30964;110,034248352051
30998;107,691070556641
31031;105,038177490234
31064;102,120780944824
31098;98,9946212768555
31131;95,7216110229492
31164;92,3718414306641
31198;89,0238418579102
31231;85,7571411132813
31264;82,6446380615234
31298;79,7520141601563
31331;77,1396484375
31364;74,8602905273438
31398;72,9547958374023
31431;71,4524993896484
31464;70,3748245239258
31498;69,7374572753906
31531;69,5497131347656
31564;69,8151321411133
31598;70,5343780517578
31631;71,7044448852539
31664;73,3132934570313
31698;75,3365325927734
31731;77,7390518188477
31764;80,4776229858398
31798;83,4994049072266
31831;86,7356643676758
31864;90,1010589599609
31897;93,5054321289063
31931;96,863151550293
31964;100,095375061035
31997;103,136207580566
32031;105,933074951172
32064;108,439361572266
32097;110,615692138672
32131;112,435661315918
32164;113,88387298584
32197;114,950469970703
32231;115,628410339355
32264;115,914169311523
32297;115,807167053223
32331;115,309387207031
32364;114,426849365234
32397;113,168838500977
32431;111,546234130859
32464;109,57258605957
32497;107,266967773438
32531;104,658630371094
32564;101,791564941406
32597;98,7223968505859
32631;95,5141677856445
32664;92,2357406616211
32697;88,9633102416992
32731;85,7753753662109
32764;82,7450637817383
32797;79,9360733032227
32830;77,4025802612305
32864;75,1911773681641
32897;73,3402557373047
32931;71,8788299560547
32964;70,8305511474609
32997;70,2176818847656
33031;70,0564422607422
33064;70,3495941162109
33097;71,0879287719727
33130;72,258659362793
33164;73,8477172851563
33197;75,835319519043
33230;78,1944046020508
33264;80,8874435424805
33297;83,8583755493164
33330;87,0321655273438
33364;90,3257293701172
33397;93,6585845947266
33430;96,9532470703125
33464;100,131477355957
33497;103,119178771973
33530;105,854965209961
33564;108,292938232422
33597;110,401161193848
33630;112,158996582031
33664;113,553176879883
33697;114,574165344238
33730;115,215347290039
33764;115,474304199219
